Time,Failure_2
2017-1-13 10:00 PM,45.54
2017-1-13 11:00 PM,46.52
2017-1-14 12:00 AM,42.94
2017-1-14 1:00 AM,43.26
2017-1-14 2:00 AM,24.91
2017-1-14 3:00 AM,26.12
2017-1-14 4:00 AM,35.51
2017-1-14 5:00 AM,39.39
2017-1-14 6:00 AM,43.88
2017-1-14 7:00 AM,39.13
2017-1-14 8:00 AM,40.15
2017-1-14 9:00 AM,33.39
2017-1-14 10:00 AM,36.37
2017-1-14 11:00 AM,37.62
2017-1-14 12:00 PM,38.42
2017-1-14 1:00 PM,41.03
2017-1-14 2:00 PM,43.68
2017-1-14 3:00 PM,42.14
2017-1-14 4:00 PM,45.95
2017-1-14 5:00 PM,46.82
2017-1-14 6:00 PM,46.12
2017-1-14 7:00 PM,47.32
2017-1-14 8:00 PM,48.72
2017-1-14 9:00 PM,49.20
2017-1-14 10:00 PM,50.66
2017-1-14 11:00 PM,51.04
2017-1-15 12:00 AM,52.43
2017-1-15 1:00 AM,53.59
2017-1-15 2:00 AM,20.88
2017-1-15 3:00 AM,11.01
2017-1-15 4:00 AM,12.17
2017-1-15 5:00 AM,13.14
2017-1-15 6:00 AM,14.67
2017-1-15 7:00 AM,13.00
2017-1-15 8:00 AM,14.21
2017-1-15 9:00 AM,16.86
2017-1-15 10:00 AM,14.55
2017-1-15 11:00 AM,16.22
2017-1-15 12:00 PM,16.18
2017-1-15 1:00 PM,15.94
2017-1-15 2:00 PM,18.90
2017-1-15 3:00 PM,18.16
2017-1-15 4:00 PM,19.78
2017-1-15 5:00 PM,19.74
2017-1-15 6:00 PM,19.38
2017-1-15 7:00 PM,20.25
2017-1-15 8:00 PM,20.83
2017-1-15 9:00 PM,21.90
2017-1-15 10:00 PM,24.45
2017-1-15 11:00 PM,25.69
2017-1-16 12:00 AM,26.77
2017-1-16 1:00 AM,27.02
2017-1-16 2:00 AM,25.36
2017-1-16 3:00 AM,25.58
2017-1-16 4:00 AM,25.63
2017-1-16 5:00 AM,27.28
2017-1-16 6:00 AM,21.55
2017-1-16 7:00 AM,23.23
2017-1-16 8:00 AM,24.24
2017-1-16 9:00 AM,27.09
2017-1-16 10:00 AM,26.89
2017-1-16 11:00 AM,27.32
2017-1-16 12:00 PM,29.33
2017-1-16 1:00 PM,29.48
2017-1-16 2:00 PM,28.91
2017-1-16 3:00 PM,27.43
2017-1-16 4:00 PM,28.74
2017-1-16 5:00 PM,29.09
2017-1-16 6:00 PM,28.69
2017-1-16 7:00 PM,26.70
2017-1-16 8:00 PM,28.10
2017-1-16 9:00 PM,26.83
2017-1-16 10:00 PM,25.16
2017-1-16 11:00 PM,25.09
2017-1-17 12:00 AM,26.53
2017-1-17 1:00 AM,26.38
2017-1-17 2:00 AM,26.71
2017-1-17 3:00 AM,24.48
2017-1-17 4:00 AM,25.41
2017-1-17 5:00 AM,25.99
2017-1-17 6:00 AM,26.61
2017-1-17 7:00 AM,26.54
2017-1-17 8:00 AM,24.62
2017-1-17 9:00 AM,26.88
2017-1-17 10:00 AM,25.67
2017-1-17 11:00 AM,24.66
2017-1-17 12:00 PM,25.04
2017-1-17 1:00 PM,24.43
2017-1-17 2:00 PM,26.91
2017-1-17 3:00 PM,26.33
2017-1-17 4:00 PM,24.99
2017-1-17 5:00 PM,24.15
2017-1-17 6:00 PM,26.78
2017-1-17 7:00 PM,25.00
2017-1-17 8:00 PM,24.61
2017-1-17 9:00 PM,26.54
2017-1-17 10:00 PM,26.59
2017-1-17 11:00 PM,25.59
2017-1-18 12:00 AM,30.12
2017-1-18 1:00 AM,30.59
2017-1-18 2:00 AM,30.72
2017-1-18 3:00 AM,32.25
2017-1-18 4:00 AM,31.71
2017-1-18 5:00 AM,29.83
2017-1-18 6:00 AM,28.78
2017-1-18 7:00 AM,29.40
2017-1-18 8:00 AM,28.50
2017-1-18 9:00 AM,33.57
2017-1-18 10:00 AM,40.43
2017-1-18 11:00 AM,38.98
2017-1-18 12:00 PM,36.65
2017-1-18 1:00 PM,35.60
2017-1-18 2:00 PM,36.14
2017-1-18 3:00 PM,37.25
2017-1-18 4:00 PM,39.20
2017-1-18 5:00 PM,40.91
2017-1-18 6:00 PM,41.47
2017-1-18 7:00 PM,29.72
2017-1-18 8:00 PM,27.07
2017-1-18 9:00 PM,30.11
2017-1-18 10:00 PM,33.60
2017-1-18 11:00 PM,40.80
2017-1-19 12:00 AM,38.61
2017-1-19 1:00 AM,45.57
2017-1-19 2:00 AM,43.41
2017-1-19 3:00 AM,32.56
2017-1-19 4:00 AM,43.54
2017-1-19 5:00 AM,53.06
2017-1-19 6:00 AM,41.85
2017-1-19 7:00 AM,36.39
2017-1-19 8:00 AM,41.83
2017-1-19 9:00 AM,44.84
2017-1-19 10:00 AM,46.69
2017-1-19 11:00 AM,52.36
2017-1-19 12:00 PM,52.74
2017-1-19 1:00 PM,52.42
2017-1-19 2:00 PM,51.62
2017-1-19 3:00 PM,54.52
2017-1-19 4:00 PM,57.31
2017-1-19 5:00 PM,61.32
2017-1-19 6:00 PM,61.73
2017-1-19 7:00 PM,65.89
2017-1-19 8:00 PM,60.56
2017-1-19 9:00 PM,49.96
2017-1-19 10:00 PM,15.88
2017-1-19 11:00 PM,17.26
2017-1-20 12:00 AM,18.12
2017-1-20 1:00 AM,18.74
